Assignee,Summary
zolnaitamas2000,sidebar controls are crammed in slide content panel in master view if going from handout view
serge.krot,ui links dialog source file label dialogue is overwritten with its value
serge.krot,ui links dialog source file label is overwritten with its value 
erack,cross text file reference in array formula using find iserror does not work
erack,cross document reference in array formula using find iserror does not work
michael.stahl,inserting place objects via basic command does not draw them at given vertical position
michael.stahl,inserting draw objects via basic command does not place them at given vertical position
Armin.Le.Grand,fileopen artifacts on images white lines
Armin.Le.Grand,fileopen artifacts on images white lines 
michael.stahl,fileopen docx incorrect vertical status position of textbox
michael.stahl,fileopen docx incorrect vertical position of textbox
mikekaganski,docx with floating table having width incorrectly imported
mikekaganski,docx with floating table having width incorrectly imported
serval2412,calc crashes when deleting a sheet if the preceding sheet contains icon
serval2412,calc crashes when deleting a sheet if the preceding sheet contains image
dennisfrancis.in,libreoffice will hang when moving or copying a using columns few drag and drop
dennisfrancis.in,libreoffice will hang when moving or copying a few columns using drag and drop
erack,calc does not give warning when opening file containing a sheet than more with columns
erack,calc does not give warning when opening file containing a sheet with more than columns
momonasmon,clangoring in menu menu
momonasmon,crash in menu menu 
raykowj,outline headings remain content in navigator highlighted navigation view after cursor is positioned to different outline heading in document
raykowj,outline headings remain highlighted in navigator content navigation view after cursor is positioned to different outline heading in document
serval2412,sql error extra excursus parentheses
serval2412,sql error extra parentheses
serval2412,crash in form update based filters when updating filter name
serval2412,crash in form based filters when updating filter name
nemeth,docx import fix missing shadowing color of numbering set by background
nemeth,docx import fix missing background color of numbering set by shadowing
markus.mohrhard,chart height is than before
markus.mohrhard,fileopen chart height is different than before
jluth,filesave pptx incorrect position of shapes after rt
jluth,filesave pptx incorrect position of shapes after rt
serval2412,letter
serval2412,letter
Katarina.Behrens,strings in new cryptography section of options user data chit dont wrap if they are too long
Katarina.Behrens,strings in new cryptography section of options user data tab dont wrap if they are too long
jluth,editing libreoffice ignores page break when adding a table the second page a page in a certain case
jluth,editing libreoffice ignores page break when adding a table to the second page deletes a page in a certain case 
Katarina.Behrens,incorrect shortcut key pick behavior in options
Katarina.Behrens,incorrect shortcut key behavior in options
zolnaitamas2000,pasting multi line source behaves strangely
zolnaitamas2000,pasting multi line text from external source behaves strangely
raykowj,tree nodes containing the commands in the customization dialog should open on single click
raykowj,tree nodes containing the commands in the customization dialog should open on single click
michael.stahl,fileopen rtf incorrect vertical position of lines take after up
michael.stahl,fileopen rtf incorrect vertical position of lines follow up 
mikekaganski,filesave rtf incorrect cell width after rt in mso
mikekaganski,filesave rtf incorrect cell width after rt in mso 
erack,fileopen xlsx pie chart does percentage format default not match excels
erack,fileopen xlsx pie chart default percentage format does not match excels
Armin.Le.Grand,uninterrupted fileopen paragraph borders are non continuous on paragraphs with paragraph spacing
Armin.Le.Grand,fileopen paragraph borders are non continuous on paragraphs with paragraph spacing
raykowj,missing messages at the use of navigate by function when document get go or end is reached
raykowj,missing messages at the use of navigate by function when document beginning or end is reached
varga.balazs3,fileopen docx chart the distorted and legend overlaps with is chart
varga.balazs3,fileopen docx chart is distorted and legend overlaps with the chart
erack,use of webservice within raises macro in calc a an illegal argument exception
erack,use of webservice within a macro in calc raises an illegal argument exception 
michael.stahl,assert when using tab to move between controls in the navigator sidebar
michael.stahl,assert when using tab to move between controls in the navigator in the sidebar
jluth,fileopen shape in table in a indium doc appears on wrong side of the page
jluth,fileopen shape in table in a doc appears on wrong side of the page
mikekaganski,not able to select an image libo calc in
mikekaganski,not able to select an image in calc libo 
jluth,filesave doc afterward style is lost after saving file as odt
jluth,filesave doc style is lost after saving file as odt
erack,match applied to a search array introduced by an offset subexpression results in err
erack,match applied to a search array introduced by an offset subexpression results in err 
erack,sum button calc sum wrong adds formulas if you select more than one row or column
erack,sum button calc adds wrong sum formulas if you select more than one row or column
m.weghorn,if you enter email settings mailing the during process
m.weghorn,if you enter email settings during the mailing process
erack,find replace diacritic are searches sensitive to linked always the ctl language setting and search replace fails when no ctl default is checked active
erack,find replace diacritic sensitive searches are always linked to the ctl language setting and search replace fails when no ctl default is checked active
jluth,fileopen doc row background color of a table x disappears
jluth,fileopen doc x background color of a table row disappears
heiko.tietze,remove to delete col functions
heiko.tietze,remove seconds to add delete col row functions 
kohei,cyrillic characters in xml show as interrogate marks
kohei,cyrillic characters in xml show as question marks
mikekaganski,a new page style will have header leave on without being checked at all
mikekaganski,a new page style will have header on without being checked at all
s.mehrbrodt,wrongly wrong font metrics with font din light
s.mehrbrodt,wrong font metrics with font din light 
s.mehrbrodt,cut support
s.mehrbrodt,support cut
Katarina.Behrens,gen
Katarina.Behrens,gen
jluth,filesave doc cr added at the beginning of footnote on first salve
jluth,filesave doc cr added at the beginning of footnote on first save
s.mehrbrodt,anchored to cellular telephone cells set to resize also move when shrunk
s.mehrbrodt,anchored to cells set to resize also move when shrunk
vasily.melenchuk,fileopen docx numbering format show as even though it should be
vasily.melenchuk,fileopen docx numbering format shown as even though it should be 
lionel,embedded firebird files baltimore oriole created with parameter name substitution disabled
lionel,embedded firebird files created with parameter name substitution disabled
erack,clash in scgridwindow clickextern
erack,crash in scgridwindow clickextern 
Armin.Le.Grand,crop scheme does not match crop area
Armin.Le.Grand,crop outline does not match crop area
heiko.tietze,sidebar shapes the should fill deck whole sidebar
heiko.tietze,sidebar shapes deck should fill the whole sidebar
raykowj,wrong table formatting when redoing the adding of table rows
raykowj,wrong table formatting when redoing the adding of table rows
michael.stahl,external control property connection resource link ref contents changed when an odt file is
michael.stahl,external forms form control property connection resource link ref contents changed when an odt file is saved
mikekaganski,fileopen rtf parser dont force tables correctly
mikekaganski,fileopen rtf parser dont draw tables correctly
nemeth,filesave xlsx drawing objects shapes multiply every time an xlsx file with comments associate in nursing roundtrips
nemeth,filesave xlsx drawing objects shapes multiply every time an xlsx file with comments roundtrips
serge.krot,autofilter settings being reset readjust in some cases
serge.krot,autofilter settings being reset in some cases
Armin.Le.Grand,writer cant create group box using the wizard
Armin.Le.Grand,writer cant create group box using the wizard
heiko.tietze,formatting merge prison cell dialog radio buttons cannot be unselected
heiko.tietze,formatting merge cells dialog radio buttons cannot be unselected
erack,selection doesnt move left nor right by press out enter
erack,selection doesnt move left nor right by pressing enter
jluth,fileopen docx ignored text indent is before
jluth,fileopen docx before text indent is ignored
Armin.Le.Grand,background when pasting sheets from clipboard
Armin.Le.Grand,blue textbox background when pasting sheets from clipboard
Armin.Le.Grand,a large d object gets pasted as a single constellate
Armin.Le.Grand,a large d object gets pasted as a single dot
raykowj,footnote navigation when in footnote text is inconsistent
raykowj,footnote navigation when in footnote text is inconsistent
Armin.Le.Grand,fontwork not is shape saved
Armin.Le.Grand,fontwork shape is not saved
serval2412,firebird migration libo enters race condition when certain odb files are transmigrate
serval2412,firebird migration libo enters race condition when certain odb files are migrated
serval2412,base allows users to execute macro code even when macro execution is cipher blocked by security setting
serval2412,base allows users to execute macro code even when macro execution is blocked by security setting
momonasmon,ctl alt shift v should paste vitamin a in a comment when cursor is active in a comment field
momonasmon,ctl alt shift v should paste in a comment when cursor is active in a comment field
raykowj,area tab bitmap preview not is shown
raykowj,area tab bitmap preview is not shown
mikekaganski,fileopen make up numbering in a specific doc is huge
mikekaganski,fileopen numbering in a specific doc is huge
bakos.attilakaroly,fileopen docx text in a mesa is invisible due to spacing and row height see comment
bakos.attilakaroly,fileopen docx text in a table is invisible due to spacing and row height see comment 
Armin.Le.Grand,crash when cutting an five hundred object in draw
Armin.Le.Grand,crash when cutting an d object in draw
serval2412,libreoffice fair game crashes after clicking target in document button in the hyperlink dialog
serval2412,libreoffice crashes after clicking target in document button in the hyperlink dialog 
erack,libreoffice basic freezes when line ends
erack,libreoffice basic freezes when line ends with 
vasily.melenchuk,fileopen formatting at times wrong row height
vasily.melenchuk,fileopen formatting occasionally wrong row height
heiko.tietze,sidebar mouse wheel should the with work shapes desk
heiko.tietze,sidebar mouse wheel should work with the shapes desk
momonasmon,last used colourize part of background colourize split button not working correctly
momonasmon,last used color part of background color split button not working correctly
Armin.Le.Grand,fileopen incorrect height altitude of textboxes
Armin.Le.Grand,fileopen incorrect height of textboxes
varga.balazs3,fileopen vba macro workbooks open filename not does command work
varga.balazs3,fileopen vba macro workbooks open filename command does not work
zolnaitamas2000,filesave docx activex form control saved incorrectly with magyar accented letters
zolnaitamas2000,filesave docx activex form control saved incorrectly with hungarian accented letters
erack,calc fails to render default setting kerning off for betray cells with no character fount formatting leads to bad type face and bad digit alignment comment
erack,calc fails to render default setting kerning off for cells with no character formatting leads to bad type face and bad digit alignment comment 
Armin.Le.Grand,fileopen general computer error opening a svg file
Armin.Le.Grand,fileopen general error opening a svg file
jluth,doc docx footnote separator line position is wrong when doesnt match rtl ltr
jluth,doc docx footnote separator line position is wrong when locale doesnt match rtl ltr
raykowj,sidebar style is not added back to hierarchy after deleting redoing it
raykowj,sidebar style is not added back to hierarchy after deleting and redoing it
serge.krot,filesave docx header loses export footer
serge.krot,filesave docx export loses header footer
michael.stahl,fileopen form fields not displayed
michael.stahl,fileopen form fields not displayed
jluth,filesave shape is incorrectly go around after rt
jluth,filesave shape is incorrectly rotated after rt
Armin.Le.Grand,extrusion of supreme headquarters allied powers europe fails
Armin.Le.Grand,extrusion of shapes fails
nemeth,fileopen docx using direct formatting on a paragraph replaces non modify attributes of the paragraph style with the scope of the base style
nemeth,fileopen docx using direct formatting on a paragraph replaces non modified attributes of the paragraph style with the settings of the base style 
jluth,fileopen odt table rendered in wrong position position modify reverts after save
jluth,fileopen odt table rendered in wrong position position change reverts after save 
dennisfrancis.in,statistics regression ok button always disabled because of decimal separator dependence dependance with locale ui not dealt
dennisfrancis.in,statistics regression ok button always disabled because of decimal separator dependence with locale ui not dealt
michael.stahl,master papers insert text from file doesnt work
michael.stahl,master document insert text from file doesnt work
erack,rand in array returns the value for each cell
erack,rand in an array returns the same value for each cell
mikekaganski,address block content not shown in mail merged document if a field is added after running subject matter wizard
mikekaganski,address block content not shown in mail merged document if a field is added after running wizard
erack,subtotal existing loses doesnt contain option format for column
erack,subtotal option loses doesnt contain existing format for column
momonasmon,paste special isnt text unformatted working inside a textbox
momonasmon,paste special unformatted text isnt working inside a textbox
mikekaganski,installer claims ms of kb for win
mikekaganski,installer claims of ms kb for win 
mikekaganski,crash impress ui windows up when i drag a slide from the left slides view to the locks taskbar
mikekaganski,crash impress ui locks up when i drag a slide from the left slides view to the windows taskbar 
nemeth,fileopen auto spacing sets paragraph above property to
nemeth,fileopen auto spacing sets above paragraph property to 
Armin.Le.Grand,crash when column datasource to
Armin.Le.Grand,crash when dragging column from datasource to spreadsheet
raykowj,area pill pattern preview is not shown
raykowj,area tab pattern preview is not shown
erack,inserting columns or rows changes global named ranges on different on insertion expand references is sheets and if touches the edge ignoring sheet
erack,inserting columns or rows changes global named ranges on different sheets if expand references is on and insertion touches the edge ignoring sheet 
erack,initialize date format mm dd yy not preserved when reading xlsx or xls
erack,date format mm dd yy not preserved when reading xlsx or xls
nemeth,docx editing track changes deletion and addition in paragraphs with tracked paragraph formatting change not displayed instantly
nemeth,editing docx track changes deletion and addition in paragraphs with tracked paragraph formatting change not displayed instantly
bakos.attilakaroly,fileopen docx images exterior table
bakos.attilakaroly,fileopen docx images outside table
s.mehrbrodt,filesave pptx powerpoint wants the file after roundtrip and cannot open it
s.mehrbrodt,filesave pptx powerpoint wants to repair the file after roundtrip and cannot open it
michael.stahl,embedded table position off after switching from webview to formula view back
michael.stahl,embedded table position off after switching from webview to normal view back
mikekaganski,fileopen arabic text truncated in attached docx
mikekaganski,fileopen arabic text truncated in attached docx
mikekaganski,fly in words with non alive background show entire paragraph in addition
mikekaganski,fly in words with non animated background show entire paragraph in addition
serval2412,freeze after command capitalize text format every word
serval2412,freeze after command format text capitalize every word
serval2412,text cycle case on attached example file hangs calc
serval2412,format text cycle case on attached example file hangs calc reproducibly
Armin.Le.Grand,fileopen docx with embeddings image is blurred
Armin.Le.Grand,fileopen docx with embeddings image is blurred
serge.krot,fileopen top aligned text in indium pptx becomes bottom aligned
serge.krot,fileopen top aligned text in pptx becomes bottom aligned
nemeth,fileopen above paragraph typeset to
nemeth,fileopen above paragraph set to 
mikekaganski,disappeared some ms equation symbols in file when open it in writer
mikekaganski,disappeared some ms equation symbols in docx file when open it in writer
michael.stahl,ui interactive gradient make up tool is broken
michael.stahl,ui interactive gradient tool is broken
sbergman,table fileopen opens a width of cm since libo in webview
sbergman,fileopen table opens a width of cm since libo in webview
michael.stahl,writer table freezes hangs divide when splits a table with merged cells to pages
michael.stahl,writer table freezes hangs when splits a table with merged cells to pages
heiko.tietze,ui consistency for inserting rowing rows in writer table
heiko.tietze,ui consistency for inserting rows in writer table
mikekaganski,intermittent crash when frame and document have blank database fields lacuna and hide paragraphs option on
mikekaganski,intermittent crash when frame and document have blank database fields and hide paragraphs option on 
erack,wrong result of conditional formatting with date condition this week shows days in week instead days
erack,wrong result of conditional formatting with type date condition this week shows days in week instead days 
mikekaganski,rotation dial for image does not work
mikekaganski,rotation dial for image does not work
m.weghorn,print dialog use only paper size from printer preferences be shown with inconsistent values
m.weghorn,print dialog use only paper size from printer preferences may be shown with inconsistent values 
serval2412,assertion betray failed when double clicking in a table in the attached odt
serval2412,assertion failed when double clicking in a table in the attached odt
erack,deleting shared formula group not cell does top re establish listeners the for remaining group formula cell s steps in comment
erack,deleting shared formula group top cell does not re establish listeners for the remaining group formula cell s steps in comment 
Katarina.Behrens,kde impress presentation cannot be using started keyboard
Katarina.Behrens,kde impress presentation cannot be started using keyboard
jluth,fileopen docx left table border delimitate overlaps text no table level borders defined
jluth,fileopen docx left table border overlaps text no table level borders defined 
zolnaitamas2000,filesave docx the combo box writer control is lost in libreoffice activex
zolnaitamas2000,filesave docx the combo box activex control is lost in libreoffice writer
Katarina.Behrens,kde window white unnecessary in base database wizard
Katarina.Behrens,kde unnecessary white window in base database wizard
Katarina.Behrens,kde java extension not working properly
Katarina.Behrens,kde java extension wollmux not working properly 
mikekaganski,docx horizontal spacing of font open sans differs word from
mikekaganski,docx horizontal spacing of font open sans differs from word 
mikekaganski,installation bug for emojionecolor svginot ttf
mikekaganski,installation glitch for emojionecolor svginot ttf
dennisfrancis.in,spreadsheet convention formula corrupt with
dennisfrancis.in,spreadsheet formula corrupt with 
erack,using a second defined database range in formula verbal expression switches to first range
erack,using a second defined database range in formula expression switches to first range 
erack,after cut paste range an overlapping data of
erack,after cut paste of an overlapping data range
Armin.Le.Grand,fileopen file modified without changing anything
Armin.Le.Grand,fileopen file gets modified without changing anything
jluth,field reference fileopen to text field in doc is broken
jluth,fileopen reference field to text field in doc is broken
dennisfrancis.in,no cell to refs to sum update after undoing change in sum range
dennisfrancis.in,no update to refs to sum cell after undoing change in sum range
bakos.attilakaroly,fileopen docx incorrect merged cells in writer prorogue
bakos.attilakaroly,fileopen docx incorrect merged cells in writer table
michael.stahl,copying impress styles duplicated when draw slides
michael.stahl,draw impress styles duplicated when copying slides
heiko.tietze,ui rename page numbers to number in dialog
heiko.tietze,ui rename page numbers to page number in fields dialog
heiko.tietze,functions insert columns left and insert rows above exist two rowing times in customize dialogue
heiko.tietze,functions insert columns left and insert rows above exist two times in customize dialogue
Katarina.Behrens,kde keyboard shortcuts not shown in fare
Katarina.Behrens,kde keyboard shortcuts not shown in menu
Katarina.Behrens,kde active toolbar not preselected in view user interface
Katarina.Behrens,kde active toolbar not preselected in view user interface 
Katarina.Behrens,kde impress presentation mode crashes in single monitor frame up setup
Katarina.Behrens,kde impress presentation mode crashes in single monitor setup
Katarina.Behrens,kde impress crashes when opening slide video
Katarina.Behrens,kde impress crashes when opening slide containing video
m.weghorn,kde find replace not correctly shown in right menu
m.weghorn,kde find replace not correctly shown in menu 
serval2412,jdbc driver test could not be loaded wrong wrongly icon
serval2412,jdbc driver test could not be loaded wrong icon
Katarina.Behrens,pie chart segment depict as rectangle when anti aliasing is off with gtk
Katarina.Behrens,pie chart segment rendered as rectangle when anti aliasing is off with gtk 
Katarina.Behrens,kde copy and paste of library paste calc cell not working
Katarina.Behrens,kde copy and paste of calc cell not working
dennisfrancis.in,cells not recalculated after replicate paste different range of cells
dennisfrancis.in,cells not recalculated after copy paste different range of cells
erack,filesave roundtripped xlsm opens with recovery excel
erack,filesave roundtripped xlsm opens with recovery in excel
s.mehrbrodt,right click context menu contains remove hyperlink without a hyperlink
s.mehrbrodt,right click context menu contains remove hyperlink without a hyperlink present 
Katarina.Behrens,kde text file implement dragndrop between multiple documents
Katarina.Behrens,kde implement dragndrop between multiple documents
Katarina.Behrens,kde text in document if disappears its dragndropped to the sidebar
Katarina.Behrens,kde text in document disappears if its dragndropped to the sidebar
Katarina.Behrens,kde dragndrop doesnt work from the information sources
Katarina.Behrens,kde dragndrop doesnt work from the data sources
serval2412,lo writer error saving the document write error the file could not author be written
serval2412,lo writer error saving the document write error the file could not be written
Katarina.Behrens,comment not exhibit on hovering with gtk and kde
Katarina.Behrens,comment not displayed on hovering with gtk and kde 
Katarina.Behrens,kde impress crashes when mode presentation exiting
Katarina.Behrens,kde impress crashes when exiting presentation mode
Katarina.Behrens,kde cant move down field to see text pitch with breaks in lo calc
Katarina.Behrens,kde cant move down field to see text with breaks in lo calc
Katarina.Behrens,kde there is no checkbox for some options in aspect lo calc
Katarina.Behrens,kde there is no checkbox for some options in view lo calc 
raykowj,toggling undocked page from navigator number field causes toggle off and and then back on
raykowj,toggling undocked navigator from page number field causes toggle off and and then back on
erack,subtotal function
erack,subtotal function
heiko.tietze,option to use header footer not working aright
heiko.tietze,option to use header footer not working correctly
Katarina.Behrens,information kde lo calc data data provider leads to crash
Katarina.Behrens,kde lo calc data data provider leads to crash
erack,cells not recalculated after moving data point within ranges pointed to by a shared formula group
erack,cells not recalculated after moving data within ranges pointed to by a shared formula group 
nemeth,fileopen docx is form control checkbox ole larger than in word
nemeth,fileopen docx ole form control checkbox is larger than in word
serge.krot,calc slow load cells with vlookup with references to empty cells
serge.krot,calc slow load of cells with vlookup with references to empty cells
jluth,fileopen is aligned to the left
jluth,fileopen bidi text is aligned to the left
jluth,filesave doc rtf paragraph roundtrip becomes blue after fill
jluth,filesave doc rtf paragraph fill becomes blue after roundtrip
mikekaganski,libreoffice station your system has crashed message if close application event is defined
mikekaganski,libreoffice sends your system has crashed message if close application event is defined 
mikekaganski,mailmerge document with a custom style style and section is mail merged into default page
mikekaganski,mailmerge document with a custom page style and section is mail merged into default style
mikekaganski,are arrows missing after opening a file with arrows
mikekaganski,arrows are missing after opening a file with arrows
nemeth,docx enabled track changes with show removed fragment as present
nemeth,docx with track changes enabled show removed fragment as present
vasily.melenchuk,chart multiline chart title in presentation supported
vasily.melenchuk,chart multiline chart title in presentation not supported
momonasmon,sidebar box cell color isnt shown white border
momonasmon,sidebar border cell color isnt shown white box 
m.weghorn,kde cant save minimized presentation
m.weghorn,kde cant save minimized presentation
markus.mohrhard,fileopen xlsx graph area created with excel shrinks when the document is opened in calc
markus.mohrhard,fileopen xlsx chart area created with excel shrinks when the document is opened in calc
michael.stahl,images anchored to a anchored are deleted inconsistently when paragraph at paragraph
michael.stahl,images anchored to a paragraph are deleted inconsistently when anchored at paragraph
sbergman,argument form of basic function broken in x worked in x and oo
sbergman,argument form of mid basic function broken in x worked in x and oo 
jluth,filesave docx coping footer gets lost after rt
jluth,filesave docx header footer gets lost after rt
dennisfrancis.in,performance regression enabling automatic update of external links
dennisfrancis.in,performance regression enabling automatic update of external links
vasily.melenchuk,editing docx
vasily.melenchuk,editing docx
serge.krot,writer docx export from odt indium wrong tabs stops in toc
serge.krot,writer docx export from odt wrong tabs stops in toc
vasily.melenchuk,editing charts edited ranges in writer cannot be data
vasily.melenchuk,editing charts data ranges in writer cannot be edited
bakos.attilakaroly,docx import formula alignment centered or right aligned formulas are aligned in writer
bakos.attilakaroly,docx import formula alignment centered or right aligned formulas are left aligned in writer 
serge.krot,writer docx exportation from odt toc title is not recognized by ms word
serge.krot,writer docx export from odt toc title is not recognized by ms word
mikekaganski,prompt for saved password pops up of protected spreadsheet datasource
mikekaganski,prompt for password pops up of protected spreadsheet datasource
nemeth,fileopen rtf the column setting is lost when mislay the first column contains only a table
nemeth,fileopen rtf the column setting is lost when the first column contains only a table
s.mehrbrodt,filesave hyphenates automatic hyphenate created with word docx words in caps too
s.mehrbrodt,filesave docx automatic hyphenate created with word hyphenates words in caps too
s.mehrbrodt,filesave docx hyphenation zone created with word resets word division default value
s.mehrbrodt,filesave docx hyphenation zone created with word resets default value
jluth,filesave docx only one manual column break remains after export
jluth,filesave docx only one manual column break remains after export
nemeth,fileopen docx page color produce with word disappears on the margins
nemeth,fileopen docx page color created with word disappears on the margins
jluth,fileopen docx three type column with next page section break created with holy writ isnt added to a new page afford in writer
jluth,fileopen docx three type column with next page section break created with word isnt added to a new page opened in writer
mikekaganski,ui concentre and document content appear blurry out of focus on windows with fractional scaling after upgrade
mikekaganski,ui and document content appear blurry out of focus on windows with fractional scaling after upgrade
sbergman,clear the list of documents this operation is not by operating system not reproducible from the
sbergman,clear the list of recent documents this operation is not supported by operating system not reproducible from the start center 
erack,fileopen xlsx maximum number of along rows per sheet on tags row without attribute r
erack,fileopen xlsx maximum number of rows per sheet on tags row without attribute r 
tundeth,fileopen xlsx implement feature to disable legend entry for serial
tundeth,fileopen xlsx implement feature to disable legend entry for series
tundeth,fileopen chart title alignment changes to odd
tundeth,fileopen chart title alignment changes to left
mikekaganski,crash several each restart
mikekaganski,crash modifying several options each requiring restart
Katarina.Behrens,crash kde close crashes writer on backend with selected text
Katarina.Behrens,crash kde backend crashes writer on close with selected text
Katarina.Behrens,kde error when selecting presentation template impress and orca
Katarina.Behrens,kde fatal error when selecting presentation template in impress and orca enabled 
erack,filesave xlsx
erack,filesave xlsx
m.weghorn,libreoffice crashes by recovering file at start over and over on linux
m.weghorn,libreoffice crashes by recovering file at start over and over on linux
serval2412,clicking smash on class path make lo crash
serval2412,clicking on class path make lo crash
nemeth,fileopen docx the formula field is incorrect in the tabular array
nemeth,fileopen docx the formula field is incorrect in the table
varga.balazs3,docx import pie chart data labels to line separator changes new semicolon
varga.balazs3,docx import pie chart data labels new line separator changes to semicolon
erack,ui pressing enter in a protected sail doesnt jump to next row in every case
erack,ui pressing enter in a protected sheet doesnt jump to next row in every case
sbergman,dmg window on macos has a misplaced bin folder icon
sbergman,installer dmg window on macos has a misplaced bin folder icon 
serge.krot,editing autofilters not right cleared
serge.krot,editing autofilters not properly cleared
erack,frequency immediate array mode on arguments and force caller
erack,frequency force array mode on arguments and immediate caller
mikekaganski,fileopen doc float floating frame is displayed with borders
mikekaganski,fileopen doc floating frame is displayed with borders
jluth,filesave header office are gone in ms footer
jluth,filesave header footer are gone in ms office
jluth,filesave doctor header footer are gone in msoffice with a protected file
jluth,filesave doc header footer are gone in msoffice with a protected file
mikekaganski,use double click to apply text
mikekaganski,cannot use double click to apply text highlight
jluth,filesave rtf new unexampled sections added after rt
jluth,filesave rtf new sections added after rt
jluth,filesave doc header footer are lost saving section to doc head format
jluth,filesave doc header footer are lost saving section to doc format
jluth,filesave rtf section at text file start creates extra
jluth,filesave rtf section at document start creates extra
nemeth,fileopen filesave docx libreoffice writer always shows the first sheet of the ole embedded xlsx spreadsheet
nemeth,fileopen filesave docx libreoffice writer always shows the first sheet of the ole embedded xlsx spreadsheet
m.weghorn,cannot imitate text from to libreoffice to from other application in kde
m.weghorn,cannot copy text from to libreoffice to from other application in kde
zolnaitamas2000,legend interferes with pie chart after pptx meaning
zolnaitamas2000,legend interferes with pie chart after pptx import
raykowj,all items in autofilter popup menu make up are not keyboard accessible
raykowj,all items in autofilter popup menu are not keyboard accessible
raykowj,table background color isnt establish when opening table background tab
raykowj,table background color isnt shown when opening table background tab
serval2412,crash when converting tdf file convert to firebird
serval2412,crash when converting tdf file to firebird
bakos.attilakaroly,moving anchor for shape text box leaves text box prat
bakos.attilakaroly,moving anchor for shape text box leaves text box behind
michael.stahl,writer hangs when erase specific line
michael.stahl,writer hangs when deleting specific line
erack,formatting regression as to in displaying times formatted from time
erack,formatting regression from to in displaying times formatted as time 
erack,shift tab jumping up to unprotected cells not working
erack,shift tab jumping back up to unprotected cells not working
erack,delimitate invoking the number format dialog the format code field is blank for a user defined date time format
erack,invoking the number format dialog the format code field is blank for a user defined date time format 
tundeth,filesave ooxml doughnut chart circles exported in a different graph order
tundeth,filesave ooxml doughnut chart circles exported in a different order
jluth,fileopen docx separator text is being added to each footnote
jluth,fileopen docx footnote separator text is being added to each footnote
michael.stahl,undoing in insertion toc middle of word causes assertion failure
michael.stahl,undoing toc insertion in middle of word causes assertion failure
s.mehrbrodt,perpetually regression printing always sets document modified status
s.mehrbrodt,regression printing always sets document modified status 
jluth,fileopen background from paragraph is applied to remainder of the document
jluth,fileopen doc background from paragraph is applied to remainder of the document
sbergman,unable to create file get on on gvfs mounted volume
sbergman,unable to create file on gvfs mounted volume
erack,array formula with column error evaluates to value function
erack,array formula with column function evaluates to value error
mikekaganski,impress fails pie render donut and to charts with and entries in only column
mikekaganski,impress fails to render donut and pie charts with and entries in only column
Katarina.Behrens,gallery images cannot be inserted kde in
Katarina.Behrens,gallery images cannot be inserted in kde 
kohei,cannot open charge mso xml file
kohei,cannot open mso xml file
jluth,fileopen docx with frame content on multiple pages is condensed to single page
jluth,fileopen docx with frame content on multiple pages is condensed to single page
michael.stahl,crash when navigate headings search wraps from end to beginning of file
michael.stahl,crash when navigate by headings search wraps from end to beginning of file
tundeth,discharge filesave xlsx empty chart goes missing
tundeth,filesave xlsx empty chart goes missing
erack,moving cut library paste paste
erack,moving cut paste
erack,changing a reference in a formula cell of a shared formula group whitethorn not reconstruct all dependencies of the then split group
erack,changing a reference in a formula cell of a shared formula group may not rebuild all dependencies of the then split group 
michael.stahl,kde writer shut closing insert section dialog leads to crash
michael.stahl,kde writer closing insert section dialog leads to crash 
erack,time format may display uncorrected if value include includes date
erack,time format may display uncorrected if value includes date
raykowj,cant pitch step with keyboard to between favorite special characters on group button
raykowj,cant step with keyboard to between favorite special characters on group button
varga.balazs3,filesave xlsx combined loses the y axis main grid visibility
varga.balazs3,filesave xlsx combined chart loses the y axis main grid visibility
varga.balazs3,xlsx filesave combined chart loses x axis visibility setting
varga.balazs3,filesave xlsx combined chart loses x axis visibility setting
michael.stahl,exportation to xhtml from writer no longer preserves footnotes as hyperlinks
michael.stahl,export to xhtml from writer no longer preserves footnotes as hyperlinks
Katarina.Behrens,move slides in lo impress slides disappear and finally it leads to clash
Katarina.Behrens,move slides in lo impress slides disappear and finally it leads to crash
bakos.attilakaroly,fileopen docx wrongly and bottom wrapped charts top each other because wrap setting is cover optimal instead of wrap off
bakos.attilakaroly,fileopen docx top and bottom wrapped charts cover each other because wrap setting is wrongly optimal instead of wrap off 
kohei,opening night xls file in previous versions of libre vs
kohei,opening xls file in previous versions of libre vs 
Katarina.Behrens,kde cant resize any toolbar
Katarina.Behrens,kde cant resize any toolbar
Katarina.Behrens,lo impress unnecessary swoop grey rectangle on the screen while demonstration slide with video
Katarina.Behrens,lo impress unnecessary grey rectangle on the screen while demonstration slide with video 
varga.balazs3,of filter issue with docx with embedded graph in decimal precision import x axis values
varga.balazs3,import filter issue with docx with embedded graph in decimal precision of x axis values
serge.krot,y is inserted of when its title is empty
serge.krot,y is inserted ahead of toc when its title is empty
heiko.tietze,table difference between default style as template and default style style is not clear
heiko.tietze,table difference between default style as template and default style as style is not clear
serval2412,untranslated strings for table of contentedness
serval2412,untranslated strings for table of contents
erack,basic script error after update from lo x to lo x
erack,basic script error after update from lo x to lo x
dennisfrancis.in,immediately result not repainted formula after cut paste move
dennisfrancis.in,formula result not repainted immediately after cut paste move 
raykowj,multi selection lost after promote demote chapter raise level in navigator
raykowj,multi selection lost after promote demote chapter level in navigator
